"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
28705,"USGS-1438",27764,27884,27634
28709,"USGS-1442",27744,27904,27484
28711,"USGS-1448",23474,23774,23174
28712,"USGS-1439",22994,23144,22804
28713,"USGS-1441",22874,23224,22534
28714,"USGS-1485",22454,22674,22364
28708,"USGS-1451",22444,22794,22254
28707,"USGS-1657",17244,17674,16984
28706,"USGS-1658",17214,17354,17064
28715,"USGS-1440",39544,40594,38284
28710,"USGS-1443",38784,39354,37794
28716,"USGS-1514",41634,42304,40754
