"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
54032,"AA-6994",42900,44600,41800
54034,"AA-6993",31300,31900,30600
54024,"CAMS-19915",20100,20300,19900
54026,"CAMS-13028",19400,19600,19200
54027,"CAMS-12827",18500,18700,18300
54025,"CAMS-13026",13900,14300,13600
54023,"CAMS-19916",11100,11200,10900
54031,"CAMS-12583",3300,3400,3100
54033,"AA-6988",500,600,400
54030,"CAMS-12832",24100,25500,23000
54029,"CAMS-12585",21600,22100,21100
54028,"AA-6987",700,700,600
