"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
7570,"UGa-3780",8084,8304,7894
7569,"Beta-13004",7384,7544,7244
7568,"Beta-13307",6874,7154,6604
7571,"Beta-3622",6574,7134,6014
7573,"Beta-13308",5584,5834,5354
7572,"Beta-13003",5474,5714,5134
7574,"Beta-3620",4154,4394,3934
7578,"Beta-3624",2314,2494,2164
7576,"Beta-13001",2244,2394,2094
7575,"Beta-13002",2234,2344,2044
7577,"Beta-3618",2234,2394,1984
7580,"UGa-3709",1104,1484,804
7579,"Beta-13000",1074,1254,904
