"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"24632","AECV-1620C",11100,11400,10800
"24645","AECV-470C",10800,12000,9700
"24640","AECV-469C",10500,11000,10300
"24633","AECV-412C",10500,10800,10300
"24644","AECV-724C",10400,10700,10200
"24634","AECV-413C",10400,10700,10100
"24643","AECV-723C",10200,11100,9500
"24646","AECV-1605C",9600,11600,7800
"24642","AECV-722C",9300,11500,7200
"24639","AECV-468C",7700,8500,6900
"24641","AECV-707C",6400,6500,6200
"24638","AECV-467C",4900,5300,4700
"24637","AECV-466C",2500,2800,2300
"24636","AECV-465C",2200,2400,1900
"24635","AECV-464C",1200,1400,1000
