"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9485,"Beta-7196",374,454,294
9484,"Beta-12584",364,444,204
9483,"Beta-7198",314,434,164
9487,"Beta-12582",694,734,654
9486,"Beta-7197",694,734,654
9491,"Beta-11387",1144,1264,1024
9490,"Beta-12583",1094,1234,984
9489,"Beta-12210",854,934,744
9488,"Beta-10852",784,904,704
9494,"Beta-12211",2674,2894,2404
9493,"Beta-12213",2404,2684,2164
9492,"Beta-11390",1884,2004,1754
9499,"Beta-11389",4264,4504,4004
9498,"Beta-10851",3374,3564,3154
9497,"Beta-10850",2934,3204,2764
9496,"Beta-12212",2864,3034,2774
9500,"Beta-10853",864,994,754
