"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8870,"UCLA-522",15500,15900,15100
8869,"UCLA-552",15400,15900,15000
8868,"UCLA-521",15400,15800,14700
8867,"UCLA-518",15000,15500,14400
8866,"UCLA-509",14800,15300,14200
8865,"UCLA-604",14700,15200,14100
8864,"UCLA-512",14800,15500,14000
8863,"UCLA-514",14700,15400,13900
8862,"UCLA-507",14600,15100,14000
8861,"UCLA-637",14300,15000,13700
8860,"UCLA-636",14500,15300,13500
8881,"UCLA-505",11500,12100,11000
8880,"I-991",11000,11600,10600
8879,"UCLA-510",10200,12100,8600
8878,"A-463a",9600,10400,8900
8877,"UCLA-519",8400,8600,8100
