"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8059,"TX-4744",1784,1944,1644
8058,"TX-4728",1784,1914,1664
8057,"TX-4732",1774,1934,1604
8056,"TX-4745",1754,1874,1604
8055,"TX-4733",1764,1924,1574
8065,"TX-4734",1284,1484,1144
8064,"Beta-5407",1314,1474,1184
8063,"TX-4731",1274,1414,1124
8062,"TX-4727",1264,1354,1154
8061,"TX-4725",1264,1344,1164
8060,"Beta-5406",1234,1294,1084
8069,"Beta-6571",1014,1144,944
8068,"Beta-6570",954,1064,814
8067,"TX-4735",934,1054,784
8066,"TX-4743",954,1124,754
