"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"53667","WIS-2063",1454,1554,1394
"53665","WIS-2124",1364,1464,1314
"53668","WIS-2052",1354,1444,1304
"53672","WIS-2026",704,814,584
"53671","WIS-2195",674,724,574
"53670","WIS-2126",604,654,544
"53673","WIS-2140",604,654,534
"53666","WIS-2040",604,654,534
"53661","WIS-2042",584,644,524
"53669","WIS-2068",564,644,494
"53660","WIS-2039",524,624,384
"53664","WIS-2125",504,534,444
"53662","WIS-2041",434,504,324
"53663","WIS-2123",404,474,304
