"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"52319","UGA-2649",1724,1924,1554
"52322","UGa-2649",1734,1924,1554
"52320","UGa-2646",1384,1514,1314
"52315","UGA-2648",1194,1314,1014
"7694","UGa-2647",1004,1164,834
"52321","UGa-2644",934,1144,764
"52323","UGa-2648",934,1164,744
"7693","UGa-2645",934,1164,744
"52313","UGA-2647",924,1094,764
"52318","UGA-2645",874,1094,724
"52317","UGA-2644",864,1074,714
"52316","SMU-598",614,724,514
"52314","SMU-597",574,654,464
