"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"8044","I-4202",684,734,584
"8047","I-4205",674,734,574
"8037","WIS-1101",674,724,574
"8036","WIS-1098",674,714,574
"8038","WIS-1100",664,714,574
"8042","WIS-1110",644,694,574
"8043","WIS-1106",644,684,564
"8046","I-4204",634,684,564
"8041","WIS-1105",634,674,564
"8045","I-4203",634,684,564
"8035","WIS-1104",624,664,554
"8034","WIS-1097",624,664,554
"8040","WIS-1103",624,664,554
"8039","WIS-1102",624,654,544
