"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
23878,"S-2850",234,584,-6
23879,"S-2806",424,514,314
23880,"S-2809",544,634,404
23893,"S-2811",764,904,684
23881,"S-2810",754,914,594
23882,"S-2812",794,914,694
23883,"S-2813",864,1124,694
23884,"S-2814",1074,1244,954
23885,"Beta-70705",1194,1274,1074
23890,"S-2815",1174,1274,1024
23886,"S-2885",1434,1544,1324
23887,"S-2816",1684,1844,1554
23888,"Beta-70706",2234,2344,2124
23889,"Beta-70707",2454,2684,2354
23891,"S-2807",184,414,14
23892,"S-2808",364,474,44
53732,"S-2368",2014,2304,1734
