"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
19753,"Beta-98070",2084,2274,2004
19750,"Beta-98065",1864,2044,1714
19754,"Beta-98067",1814,1914,1734
19751,"WG2580 (AA31984)",1764,1864,1644
19755,"Beta-98066",1734,1894,1574
19760,"WG2582 (AA31986)",1414,1504,1364
19761,"WG2581 (AA31985)",1394,1494,1344
19762,"WG2583 (AA31987)",1394,1494,1334
19756,"Beta-98057",1384,1494,1314
19752,"Beta-98061",1354,1444,1284
19757,"Beta-98060",1334,1374,1294
19759,"Beta-98048",494,524,354
19758,"Beta-98051",474,524,334
