"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"51231","TEMP221",47000,48200,46000
"51230","TEMP218",47200,48300,46300
"51232","TEMP223",47000,48200,46100
"51131","UCIAMS-191101",46600,47900,45200
"51233","TEMP217",47100,48200,46300
"51211","UCIAMS-143018",45500,47300,43700
"51209","UCIAMS-131444",44700,46400,43300
"51208","UCIAMS-131436",44300,46900,42600
"51143","UCIAMS-198294",43300,44400,42600
"51228","UCIAMS-135939",42800,44200,42100
"51227","UCIAMS-138837",42200,42700,41600
"51207","UCIAMS-131441",42000,43600,40700
"51226","UCIAMS-138836",42000,42400,41500
"51206","UCIAMS-131443",41900,43500,40600
"51205","UCIAMS-131434",41700,43000,40200
"51176","UCIAMS-125325",41600,42400,40400
"51170","TEMP219",41600,42400,40400
"51133","UCIAMS-198205",41600,42200,40800
"51204","UCIAMS-143028",41500,42100,40600
"51203","UCIAMS-143027",41400,42100,40600
"51225","UCIAMS-125323",41300,42200,40100
"51171","UCIAMS-125323",41300,42200,40100
"51130","UCIAMS-198204",41200,42200,39900
"51202","UCIAMS-131442",41100,42300,39600
"51201","UCIAMS-131433",41100,42300,39600
"51137","UCIAMS-191098",41200,42000,40200
"51199","UCIAMS-143026",41200,41900,40200
"51200","UCIAMS-131432",41000,42100,39600
"51141","UCIAMS-198202",41000,41800,40100
"51197","UCIAMS-143022",41000,41800,40000
"51198","UCIAMS-143024",41000,41800,40000
"51195","UCIAMS-131440",40900,42100,39500
"51196","UCIAMS-143020",40900,41800,39900
"51129","UCIAMS-191100",40900,41800,40000
"51138","UCIAMS-198199",40900,41700,40000
"51145","UCIAMS-191095",40900,41800,39900
"51194","UCIAMS-143025",40800,41700,39900
"51193","UCIAMS-143023",40800,41700,39900
"51224","UCIAMS-138839",40800,41300,40100
"51192","UCIAMS-131439",40700,42000,39300
"51189","UCIAMS-199128",40700,41800,39700
"51191","UCIAMS-220389",40800,41200,40200
"51190","UCIAMS-143021",40800,41600,39800
"51222","UCIAMS-137684",40800,41300,40100
"51221","UCIAMS-137682",40700,41200,40000
"51188","UCIAMS-136674",40600,41700,39600
"51134","UCIAMS-191096",40600,41500,39700
"51132","UCIAMS-191102",40600,41500,39700
"51187","UCIAMS-220738",40600,41200,39900
"51169","UCIAMS-127080",40600,41200,39900
"51168","TEMP222",40600,41200,39900
"51185","UCIAMS-131435",40500,41900,38800
"51167","UCIAMS-111959",40500,41400,39600
"51142","UCIAMS-191097",40400,41300,39500
"51223","UCIAMS-138838",40300,41000,39700
"51186","UCIAMS-220746",40300,40900,39700
"51128","UCIAMS-198200",40300,41100,39500
"51220","UCIAMS-135935",40200,41200,39400
"51184","UCIAMS-136673",40200,41300,39200
"51165","UCIAMS-111958",40200,41200,39300
"51164","TEMP220",40200,40900,39600
"51166","UCIAMS-127081",40200,40900,39600
"51163","UCIAMS-111960",40200,41200,39300
"51219","UCIAMS-111960",40200,41100,39300
"51161","UCIAMS-114083",40200,41100,39300
"51183","UCIAMS-131430",40100,41500,38100
"51162","UCIAMS-125334",40100,41100,38900
"51218","UCIAMS-125322",40100,41200,38600
"51159","UCIAMS-125322",40100,41200,38600
"51160","UCIAMS-109447",40000,41400,38100
"51217","UCIAMS-109447",40000,41400,38100
"51182","UCIAMS-136672",40000,41100,38600
"51158","UCIAMS-109433a",40000,40700,39400
"51181","UCIAMS-131429",39900,41400,37900
"51157","UCIAMS-109446",39900,40400,39500
"51156","UCIAMS-115593",39900,40800,38900
"51180","UCIAMS-220742",39900,40500,39400
"51155","UCIAMS-109432",39700,41200,37700
"51154","UCIAMS-112119",39700,40800,38100
"51216","UCIAMS-109433b",39600,40800,37800
"51153","UCIAMS-109433",39600,40800,37800
"51152","UCIAMS-109432",39400,40500,37900
"51151","UCIAMS-109446",39200,40600,37600
"51150","UCIAMS-115587",39300,40400,37800
"51140","UCIAMS-191099",38800,39800,37600
"51229","UCIAMS-170754",38800,43300,35400
"51215","UCIAMS-137681",38300,39200,37500
"51179","UCIAMS-136677",38300,39400,37000
"51148","UCIAMS-125324",38300,40000,36700
"51147","TEMP216",38300,40000,36700
"51178","UCIAMS-131437",38200,39800,36700
"51214","UCIAMS-109454",38200,39500,36800
"51146","UCIAMS-109454",38200,39500,36900
"51177","UCIAMS-220388",38100,39000,37400
"51149","UCIAMS-109445",38000,39300,36700
"51139","UCIAMS-198203",37900,39300,36600
"51135","UCIAMS-198201",36900,38100,36300
"51174","UCIAMS-220740",36800,37400,36400
"51175","UCIAMS-143019",36600,37400,35800
"51144","UCIAMS-198207",36200,36900,35600
"51173","UCIAMS-220390",35800,36200,35400
"51136","UCIAMS-198302",35300,35900,34800
"51213","UCIAMS-137680",35300,36100,34600
"51172","UCIAMS-131431",34900,35900,34300
"51212","UCIAMS-135936",34300,34600,33900
