"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"51334","UCLA-292S",39500,42500,36700
"51331","426",39300,42600,36300
"51325","773A",38400,41200,36000
"51332","UCIAMS-223525",35900,36300,35400
"51330","UCLA-292O",34100,36400,32000
"51335","ACRF8231",32900,33500,32200
"51329","UCLA-292D",32700,35700,30400
"51328","UCLA-292Z",31700,35500,29200
"51327","QC386",33100,41200,27300
"51340","UCLA-292G",31000,33100,29600
"51326","QC412",26500,28900,24400
"51338","UCLA-292R",23900,24600,23300
"51339","UCLA-92La",18600,20400,17000
"51336","UCLA-92Ac",16300,16800,15900
"51341","UCLA-292N",15300,15700,14700
"51343","UCIAMS-259730",15200,15300,15100
"51333","UCIAMS-172341",2500,2500,2400
"51337","ACRF816",200,300,0
