"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"51389","UCIAMS-211466",13924,14114,13814
"51390","UCIAMS-211467",13474,13594,13344
"51394","UCIAMS-211464",13134,13224,13044
"51392","UCIAMS-211468",12274,12554,12014
"51395","UCIAMS-199813",12264,12554,12014
"51391","UCIAMS-211465",12244,12484,11994
"51397","UCIAMS-211463",12244,12504,11974
"51396","UCIAMS-199812",12084,12434,11874
"51398","UCIAMS-197094",11914,12314,11764
"51393","UCIAMS-197093",11854,11964,11704
