"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"51650","BETA-203309",5514,5584,5364
"51649","BETA-203308",4834,4864,4664
"51648","BETA-205049",4744,4844,4634
"51647","BETA-203310",4544,4794,4324
"51646","BETA-203380",4514,4794,4254
"51645","BETA-203379",4294,4444,4114
"51644","BETA-205050",3964,4074,3864
"51643","BETA-203302",3204,3334,3064
"51654","BETA-203307",1584,1704,1434
"51656","BETA-157549",1464,1524,1384
"51657","BETA-203303",844,944,734
"51653","BETA-203306",814,924,704
"51652","BETA-203305",704,774,664
"51651","BETA-203304",664,734,574
"51655","BETA-156911",604,664,554
"51658","BETA-156907",604,644,544
"51642","BETA-156909",594,654,524
"51641","BETA-156908",484,514,344
