"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
53899,"S-752",4484,5014,4004
53895,"S-750",3944,4214,3704
53892,"S-472",3724,3904,3544
53898,"S-751",3704,4174,3294
53896,"S-748",3384,3614,3144
53893,"S-753",1784,1944,1624
53907,"TO-12060",1644,1764,1544
53894,"S-754",1594,1724,1424
53906,"TO-12059",964,1074,824
53901,"TO-10892",964,1074,824
53905,"TO-12058",864,974,764
53900,"TO-10894",814,914,734
53904,"TO-12057",804,914,704
53891,"S-471",184,294,24
53910,"S-983",3294,3484,3074
53912,"S-986",2924,3164,2774
53908,"S-984",2844,3044,2724
53909,"S-987",2764,2924,2504
53911,"S-985",2644,2854,2414
53902,"TO-10893",2174,2314,2014
53903,"TO-10895",2154,2304,2014
53897,"S-749",1314,1714,994
