"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9580,"UCLA-1292C",18944,20044,17984
28204,"UCIAMS-127086",10234,10294,10204
28203,"UCIAMS-127072",10234,10254,10204
28202,"UCLA-1292BB",10144,10274,9904
28201,"UCIAMS-133537",3354,3394,3264
9581,"QC-916R",6054,6304,5744
53971,"UCIAMS 216761",13044,13094,12944
53970,"UCIAMS 212474",11984,12244,11894
53969,"UCIAMS 212472",10374,10484,10274
53968,"UCIAMS 223528",7064,7154,6974
53967,"UCIAMS 216760",6744,6794,6684
53966,"UCIAMS 223493",5164,5294,5064
