"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
7135,"A-491",13344,14034,12874
7136,"A-481",13174,13674,12734
7134,"A-490",13154,13754,12414
53984,"A-1372",11764,12374,11324
53976,"AA-1358",11754,12254,11364
53982,"A-4703",11104,12284,9594
53979,"AA-1366",11364,11694,11194
7138,"A-489",11364,12074,10674
53975,"AA-1359",10934,11184,10624
53983,"A-4705",10504,11244,9754
53978,"AA-1367",10344,10524,10204
53986,"Y-2488",9904,10224,9574
53974,"AA-1413",9904,10174,9594
53981,"A-4700",9714,10394,9054
7139,"A-512",9484,10254,8724
53987,"Y-1990",8424,8814,8124
53985,"Y-2487",7854,8164,7604
7140,"O-169",7244,7464,6964
7141,"O-170",7194,7424,6904
53995,"AA-1362",12714,12834,12514
53990,"AA-1361",12634,12744,12234
54001,"A-380",12354,12914,11524
7144,"A-492",12324,12714,11774
7143,"A-386",12324,12714,11764
53997,"A-4701",12064,12944,10824
53993,"AA-1370",12014,12604,11354
7145,"A-379",11974,12664,11214
53994,"AA-1364",11904,12424,11464
7142,"A-488",11864,12564,11254
53998,"AA-1412",11354,12004,10784
53999,"Y-2489",10684,11154,10274
54000,"Y-1991",9404,9914,9014
53989,"AA-1409",7604,7894,7364
54006,"AA-2258",9704,10044,9554
54007,"AA-1642",9204,9464,8814
54008,"AA-2259",8694,8974,8464
54009,"AA-2260",7584,7684,7464
11346,"CAMS-74637",6054,6254,5814
54012,"O-157",5724,5984,5454
54013,"SI-4585",5604,5844,5394
54002,"AA-2263",15134,15574,14394
54003,"AA-1374",14414,14874,14094
54004,"AA-2262",13674,13874,13514
54005,"AA-1375",13314,13564,13104
