"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9070,"A-1066",12900,13200,12800
9067,"A-1067",12800,13100,12300
9068,"I-442",12400,12800,11700
9069,"L-473A",12200,12700,11400
9073,"A-1041",13300,13600,13100
9072,"A-1392",13300,13700,12900
9071,"A-1068",13100,13400,12800
9076,"A-1318",14600,15100,14200
9075,"A-1070",14600,15300,14100
9074,"L-473C",14500,15200,13700
9077,"A-1207",15800,16700,15000
9078,"A-1278",22400,23000,21800
9079,"A-1209",27900,28700,27200
9080,"A-1210",37300,39100,35900
9081,"A-1043",43300,53700,35300
9084,"AA-593",11800,12900,10700
9085,"AA-1839",16200,16600,15900
9086,"AA-1841",20200,20500,19800
9088,"AA-1843",24100,24500,23800
9087,"AA-1842",24100,24600,23600
9089,"AA-1855",25300,25800,24600
9090,"AA-1854",26800,27300,26200
9091,"AA-1856",33100,34400,31700
9092,"A-1450",11100,11600,10800
9094,"A-1452",11000,11600,10400
9093,"A-1451",11000,11700,10400
9095,"A-1350",14800,15500,14200
9096,"A-1535",14600,15400,13800
9097,"A-1421",16300,16800,15900
9098,"A-1325",16000,16700,15300
9099,"A-1569",19800,20400,19200
9101,"A-1356",22800,23800,21800
9102,"A-1208",20400,22300,18800
9100,"A-1570",18200,18700,17600
11371,"CAMS-7188",32600,33800,31800
11370,"CAMS-38696",25000,25200,24700
11369,"CAMS-36650",24700,24900,24400
11368,"CAMS-19997",12900,13100,12800
11367,"CAMS-7189",12900,13100,12800
11366,"CAMS-16813",12900,13100,12800
11365,"CAMS-16812",12900,13000,12800
