"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"53041","UM-1454",4074,4234,3934
"53042","UM-1456",2494,2694,2364
"53037","UM-619",2354,2664,2164
"53038","UM-620",2244,2474,2054
"53035","UM-617",1624,1784,1454
"53040","UM-1457",1594,1694,1484
"53032","UM-42",1394,1564,1254
"53036","UM-618",1274,1384,1114
"53043","UM-1458",1214,1294,1084
"53039","UM-1455",1184,1274,1074
"53034","UM-41",1104,1294,864
"53033","UM-43",1064,1254,904
"53044","UM-1549",944,1054,814
