"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"11212","Beta-20953",11754,12364,11324
"11211","Beta-18602",8494,8784,8264
"11210","Beta-18027",7204,7414,6954
"11209","Beta-18028",6854,7144,6604
"11208","Beta-13732",6674,6854,6504
"11207","Beta-16616",6284,6484,6034
"11202","Beta-18024",3284,3454,3074
"11206","Beta-18025",3264,3394,3084
"11205","Beta-18029",3034,3264,2844
"11204","Beta-19099",2784,2954,2524
"11203","Beta-18026",2624,2784,2414
"11201","Beta-16618",2594,2744,2404
"11200","Beta-13733",2584,2744,2384
"11199","Beta-18023",2534,2704,2374
"11198","Beta-13731",2164,2324,1994
"11197","Beta-16617",1844,2074,1644
"11196","Beta-18030",574,644,514
