"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8915,"GAK-1569",9244,9524,8844
8916,"GAK-2086",8824,9214,8464
8917,"GAK-2081",2684,2884,2424
8920,"GAK-2079",2584,2754,2404
8921,"GAK-1561",1434,1574,1324
8922,"GAK-2078",1104,1274,944
8923,"GAK-2080",614,674,544
8926,"GAK-1566",514,634,344
8928,"GAK-2083",9884,10284,9534
8930,"GX-1287",8724,9434,8094
8931,"GAK-2082",8064,8274,7894
8932,"GX-1288",6874,7224,6534
8933,"GAK-1563",7294,7454,7044
8934,"GAK-1567",6844,7144,6634
8935,"GAK-2084",7084,7294,6844
8936,"GAK-1568",5294,5534,4994
8937,"GAK-1564",3444,3774,3134
