"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"19029","Beta-49163",9424,9534,9174
"19030","Beta-134386",9094,9254,9024
"19031","Beta-66337",8894,9074,8704
"19032","Beta-66336",8854,8994,8664
"19034","Beta-66338",8814,9054,8574
"19033","Beta-134389",8474,8644,8324
"19035","Beta-134387",7984,8034,7934
"19036","Beta-49166",7884,7994,7754
"19037","Beta-49164",3674,3824,3534
"19038","Beta-49165",3614,3794,3494
"19039","Beta-134388",2634,2734,2504
