"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"53260","UGAMS-29179",37164,37464,36904
"53259","UGAMS-25408",34274,34444,34074
"53258","UGAMS-29177",33914,34164,33634
"53253","UGAMS-29180",31404,31624,31234
"53255","UGAMS-25407",31114,31184,31034
"53254","UGAMS-29197",30264,30594,30124
"53249","UGAMS-29178",29004,29134,28834
"53224","UGAMS-A22341",26134,26314,25974
"53250","Beta-378229",26074,26314,25934
"53242","UGAMS-28605",25864,25954,25784
"53245","UGAMS-29195",24544,24764,24304
"53243","UGAMS-25399",23984,24164,23864
"53251","Beta-383037",23894,24114,23804
"53246","UGAMS-29196",23844,23954,23784
"53252","Beta-383038",23814,23924,23514
"53237","UGAMS-29181",23074,23204,22984
"53236","UGAMS-29173",22914,22994,22654
"53244","UGAMS-25405",22774,22934,22574
"53234","UGAMS-29169",22574,22844,22444
"53235","UGAMS-29170",21344,21614,21114
"53232","UGAMS-29175",21304,21434,21094
"53257","Beta-357935",21274,21644,21034
"53233","UGAMS-29176",20874,20954,20774
"53248","UGAMS-A22337",20434,20524,20314
"53240","UGAMS-A22336",19304,19444,19164
"53225","UGAMS-25404",19064,19164,18964
"53239","UGAMS-A22338",18094,18204,17924
"53221","UGAMS-25403",16644,16824,16494
"53238","UGAMS-29642",16064,16214,15904
"53222","UGAMS-25406",16004,16134,15864
"53220","UGAMS-25402",15914,16034,15784
"53247","UGAMS-29634",15554,15704,15364
"53264","B-11675",14024,14184,13834
"53231","Beta-395402",14024,14084,13864
"53262","UGAMS-29654",14004,14874,13504
"53217","UGAMS-29202",13684,13764,13604
"53216","UGAMS-29201",13554,13604,13504
"53202","UGAMS-24205",13474,13574,13394
"53265","B-10729b",13334,13474,13184
"53207","UGAMS-29174",12814,12884,12764
"53212","UGAMS-29190",12294,12484,12114
"53263","UGAMS-29641",11604,12584,10664
"53230","Beta-378231",10944,11154,10794
"53223","UGAMS-A22340",10284,10404,10234
"53229","Beta-362862",10214,10244,10154
"53261","UGAMS-29639",9544,9854,9334
"53215","UGAMS-29200",9234,9394,9134
"53208","UGAMS-29185",9064,9134,9014
"53201","Beta-378233",8874,8984,8724
"53214","UGAMS-29199",8764,8964,8644
"53209","UGAMS-29187",8724,8954,8624
"53211","UGAMS-29189",8704,8944,8614
"53200","Beta-378232",8564,8604,8474
"53213","UGAMS-29198",8334,8374,8214
"53204","UGAMS-25409",8294,8364,8214
"53210","UGAMS-29188",8104,8174,8034
"53192","Beta-357934",7894,7954,7834
"53198","Beta-378228",7854,7924,7774
"53187","UGAMS-29184",7774,7844,7704
"53188","UGAMS-29186",7374,7434,7334
"53228","Beta-357933",7364,7424,7284
"53219","UGAMS-29647",7074,7164,6984
"53256","UGAMS-29645",6604,6764,6444
"53203","UGAMS-24206",6374,6454,6324
"53197","Beta-378227",6354,6404,6304
"53191","UGAMS-29648",6074,6174,5954
"53218","UGAMS-A22339",5964,6104,5924
"53193","Beta-357936",5944,5994,5914
"53227","UGAMS-29651",5884,5974,5764
"53196","Beta-362863",5814,5914,5764
"53205","UGAMS-28567",5824,5904,5754
"53241","UGAMS-28568",5494,5584,5344
"53186","UGAMS-29183",5524,5574,5354
"53183","UGAMS-24204",5414,5444,5304
"53190","UGAMS-29644",5314,5444,5104
"53189","UGAMS-29652",5164,5294,5054
"53184","UGAMS-29171",5164,5284,5054
"53226","UGAMS-29650",5014,5254,4894
"53199","Beta-378230",4834,4854,4664
"53185","UGAMS-29172",4714,4824,4624
"53206","UGAMS-28570",4434,4514,4314
"53194","Beta-362859",874,954,804
"53195","Beta-362861",484,514,344
