"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
23646,"RIDDL-83",11100,11300,10800
23657,"RIDDL-75",11000,11300,10700
23649,"RIDDL-215",12500,12900,12100
23650,"RIDDL-216",12400,12800,11900
23647,"RIDDL-85",12400,12700,12100
23639,"RIDDL-70",12300,12600,12000
23640,"RIDL-318",12300,12600,11900
23651,"RIDDL-79",12300,12500,11900
23652,"RIDDL-282",12300,12500,11800
23655,"RIDDL-217",11500,11900,11200
23653,"RIDDL-81",11500,11900,11300
23642,"AECV-124C",11500,11900,11300
23643,"RIDDL-84",11500,11900,11300
23645,"RIDDL-71",11500,11900,11300
23644,"RIDDL-72",11500,11800,11300
23641,"RIDDL-317",11400,11800,11200
23654,"GSC-3804",11300,11500,11200
23648,"RIDDL-528",12100,12600,11500
23656,"RIDDL-73",11900,12500,11500
