"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"49677","BETA-221678",2354,2434,2224
"49680","UOC-5792",2254,2344,2174
"49678","UOC-5789",2234,2334,2174
"49679","UOC-3408",2234,2334,2164
"49681","UOC-3409",2224,2324,2164
"49687","UOC-5790",2224,2324,2164
"49686","UOC-3407",2234,2324,2154
"49690","UOC-3410",2234,2314,2154
"49689","BETA-221677",2224,2324,2134
"49688","UOC-5786",2234,2314,2144
"49682","BETA-221676",2104,2294,2014
"49683","UOC-5787",2044,2114,1984
"49684","UOC 5788",1804,1874,1744
"49685","BETA-221675",1774,1834,1664
