"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9043,"A-1654",14684,16014,13954
9042,"A-1800",14354,14914,13924
9041,"A-1653",14004,14764,13604
9040,"UGa-636",13684,13994,13454
9039,"A-1660",13014,13304,12774
9045,"SI-2417",9644,9874,9554
9044,"SI-2418",9314,9464,9084
9049,"SI-2419",8004,8154,7874
9048,"UGa-637",7674,7824,7584
9047,"SI-2420",7544,7654,7444
9046,"SI-2421",7344,7424,7194
9052,"SI-2715",3924,4074,3774
9051,"SI-2998",3844,4014,3694
9050,"SI-2495",3634,3834,3464
9060,"SI-2422",1944,2104,1784
9059,"UGa-1053",1804,1934,1654
9057,"SI-3172",1764,1904,1624
9058,"SI-2423",1754,1884,1614
9056,"SI-3012R",1564,1694,1424
9055,"SI-2426",1474,1574,1384
9054,"UGa-1548",1464,1574,1354
9053,"SI-2425",1414,1524,1324
