"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902371","AA-377",9217,9687,8707
"902369","AA-378",8772,9377,8227
"902368","AA-376",8757,9522,8022
"902372","AA-375",7292,7592,6902
"902366","A-3716",7312,7512,7037
"902374","A-3714",4622,5007,4242
"902373","A-3715",4612,5142,4142
"902367","A-3711",4402,4782,4057
"902365","A-3713",3982,4267,3727
"902370","AA-379",3527,4232,2917
"902364","A-3712",2922,3237,2617
"902375","A-3710",1587,1727,1422
