"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8915,"GAK-1569",9242,9527,8857
8916,"GAK-2086",8817,9207,8462
900920,"ICA-14B/611",2822,2877,2787
900921,"ICA-14B/610",2817,2862,2787
900922,"ICA-14B/603",2812,2847,2767
900924,"ICA-14B/609",2807,2847,2762
8917,"GAK-2081",2807,2857,2727
900923,"SI-2338",2812,2867,2717
8920,"GAK-2079",2587,2752,2402
8921,"GAK-1561",1437,1572,1317
900925,"ICA-14B/613",2347,2357,2337
900926,"AA-20857",1877,2032,1742
900927,"ICA-14B/612",1592,1687,1552
8922,"GAK-2078",1127,1282,962
8923,"GAK-2080",612,672,537
8926,"GAK-1566",512,627,342
8928,"GAK-2083",9822,10227,9497
900932,"ICA-14B/602",9367,9457,9292
900930,"ICA-14B/601",7637,7677,7592
900931,"AA-20338",5367,5557,5067
900929,"AA-20856",2262,2467,2132
8930,"GX-1287",8722,9427,8087
8931,"GAK-2082",8032,8207,7877
900934,"ICA-14B/614",7892,7957,7842
900935,"ICA-14B/604",7877,7932,7802
900933,"ICA-14B/605",7357,7417,7282
8932,"GX-1288",7007,7307,6637
8933,"GAK-1563",7292,7452,7047
8934,"GAK-1567",6842,7137,6632
8935,"GAK-2084",7077,7292,6837
900938,"AA-20341",7367,7552,7177
900937,"AA-20340",7282,7442,7037
8936,"GAK-1568",5312,5542,5012
900940,"AA-20339",5267,5507,4992
900936,"ICA-14B/608",5012,5242,4912
900939,"ICA-14B/607",4082,4157,3992
8937,"GAK-1564",3417,3722,3102
900941,"ICA-14B/606",2172,2292,2082
900928,"AA-20858",8817,9047,8597
900942,"RL-413",1167,1422,907
903063,"UCR-4012",7362,7422,7277
