"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"901985","LSU-72-341",1827,2107,1577
"901984","LSU-72-343",1757,2027,1452
"901988","UGa-12011",1782,1887,1697
"901981","UGa-12012",1727,1877,1572
"901997","UGa-12013",1697,1832,1562
"901982","LSU-72-346",1637,1882,1402
"901996","UGa-12015",1562,1737,1392
"901983","LSU-72-23",1522,1792,1312
"901986","LSU-72-340",1497,1902,1012
"901987","LSU-72-348",1337,1922,752
"901993","UGa-12019",1172,1327,982
"901990","UGa-12016",1157,1287,987
"901995","LSU-70-210",1037,1457,732
"901992","UGa-12014",987,1167,817
"901991","UGa-12018",862,1092,707
"901989","UGa-12017",787,907,697
"901994","UGa-12020",757,897,677
