"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
7095,"Gx-7855",8397,9332,7697
7096,"UGa-2775",5397,5557,5122
7097,"UGa-2859",2737,3297,2192
900362,"CAMS-20019",17527,17682,17427
900367,"CAMS-20017",17492,17652,17377
900356,"CAMS-20008",17492,17652,17377
900364,"CAMS-19899",17487,17652,17382
900349,"CAMS-19920",17487,17652,17382
900373,"CAMS-20012",17482,17647,17367
900370,"CAMS-19902",17477,17642,17357
900350,"CAMS-20009",17432,17612,17302
900372,"CAMS-19904",17402,17587,17167
900366,"CAMS-20018",17387,17547,17172
900363,"CAMS-19895",17367,17502,17147
900361,"CAMS-20021",17322,17447,17122
900357,"CAMS-20011",17302,17452,17112
900368,"CAMS-19900",17222,17377,17077
900351,"CAMS-19911",17217,17372,17072
900345,"CAMS-19912",17217,17362,17082
900360,"CAMS-20020",17202,17352,17067
900347,"CAMS-19906",17197,17347,17062
900358,"CAMS-20010",17192,17357,17037
900355,"CAMS-19910",17192,17347,17047
900374,"CAMS-20013",17182,17352,17027
900354,"CAMS-19909",17177,17337,17032
900353,"CAMS-19908",17127,17322,16992
900352,"CAMS-19907",17127,17322,16987
900369,"CAMS-19901",17092,17312,16967
900365,"CAMS-20014",17072,17302,16967
900359,"CAMS-20015",17062,17297,16957
900346,"CAMS-19905",17062,17297,16957
900375,"CAMS-20016",17022,17287,16892
900348,"CAMS-19897",16992,17082,16887
900371,"CAMS-19903",16962,17042,16857
900344,"CAMS-19896",16952,17022,16842
