"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"901476","GX-358",1297,1442,1017
"901463","Beta-377209",932,962,832
"901466","Beta-377212",927,957,812
"901465","Beta-377208",852,912,787
"901462","Beta-379248",847,912,762
"901464","Beta-377207",827,902,747
"901467","Beta-377211",787,897,737
"901471","UCIAMS-268104",772,887,742
"901468","Beta-377205",757,882,702
"901461","Beta-377210",717,772,687
"901470","UCIAMS-268103",697,722,677
"901472","UCIAMS-268105",532,547,522
"901473","UCIAMS-268106",522,537,512
"901469","UCIAMS-268102",387,472,332
"901474","UCIAMS-268107",387,447,322
"901475","UCIAMS-268108",287,297,162
