"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"900399","UGa-5285",742,842,682
"900398","AA-10216-1",732,837,667
"900387","Beta-45675",662,717,567
"900385","Beta-51847",647,692,567
"900392","AA-11774",542,637,457
"900393","AA-10218",527,622,447
"900396","AA-10219",522,607,482
"900397","UGa-5287",507,632,332
"900395","AA-10220-1A",457,512,332
"900384","AA-10221-1",447,517,327
"900389","AA-10220-1B",437,507,327
"900381","AA-10215",422,497,327
"900394","AA-10220-2A",392,482,312
"900400","AA-10217",392,467,312
"900382","Beta-51846",392,487,297
"900383","Beta-45676",387,477,297
"900388","AA-10221-2",387,467,297
"900390","Beta-45674",387,462,297
"900391","AA-10220-2B",372,447,287
"900386","Beta-51845",287,417,207
