"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"10740","TX-1473",31987,33842,30667
"10736","I-3922",20032,20477,19587
"10738","TX-1478",19982,20357,19612
"10737","TX-1477",19927,20522,19327
"10735","I-4236",19872,20317,19487
"10739","TX-1629",19592,20437,18897
"10734","M-2211",16602,18042,15172
"10733","A-1079",16387,17367,15427
"902063","AA-101549",13527,13762,13322
"902064","AA-97874",13477,13592,13352
"11324","Tx-1466",9007,15282,5552
"11323","A-1076",4727,5152,4437
"11322","Tx-1472",1837,1957,1737
"11320","Tx-1470",1832,2027,1647
"11321","Tx-1471",1822,1987,1647
