"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"900294","ISGS-204-B",35072,44527,26112
"7035","ISGS-204b",38837,42077,36082
"11358","CAMS-16171",38967,41567,36567
"900297","CAMS-16594",35662,36317,34887
"11333","CAMS-16594",35662,36317,34887
"900298","ISGS-267-A",25887,26917,24957
"7039","ISGS-166d",25422,26207,24527
"7038","ISGS-166c",20117,20792,19497
"7036","ISGS-166a",18522,19202,17827
"7033","ISGS-70",10902,12707,9317
"7037","ISGS-166b",4652,4852,4422
"900295","ISGS-165",2492,2707,2222
