"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902743","CAMS-20002",16872,17022,16662
"902742","CAMS-20003",16822,16982,16637
"28541","CAMS-33967",15067,15222,14862
"28540","CAMS-6370",14477,14917,14122
"902739","CAMS-20004",14052,14297,13837
"902741","NZA-28890",13547,13667,13472
"902746","CAMS-20001",13377,13482,13247
"902740","NZA-28889",12822,12957,12762
"902744","CAMS-20007",10962,11172,10782
"902745","CAMS-20005",137,272,22
