"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
900706,"Beta-366756",932,962,832
900707,"Beta-355786",4197,4332,4107
900708,"Beta-355785",3907,3977,3842
900709,"Beta-355784",3917,4002,3852
900710,"Beta-351106",2477,2687,2372
900711,"Beta-363056",3662,3812,3587
900712,"Beta-316356",302,417,162
900713,"OxA-21513",837,917,797
900714,"Beta-316357",507,527,477
900715,"Beta-366757",202,282,27
900716,"Beta-366758",302,417,157
903098,"Beta-17312",1382,1677,1097
903099,"TAMU-3M160",2177,2397,1847
903100,"TAMU-3M172",2112,2312,1802
903101,"TAMU-3M152",2237,2402,2152
