"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"900356","WIS-846",752,787,712
"900360","WIS-1776",747,782,697
"900350","Beta-8842",752,782,707
"900353","WIS-841",747,782,702
"900359","WIS-1775",742,777,697
"900354","WIS-842",747,777,697
"900352","WIS-434",747,777,697
"900374","QL-4489",752,782,737
"900370","QL-4493",752,777,737
"900349","Beta-8841",742,777,697
"900378","QL-4496",747,777,732
"900369","QL-4491",747,772,732
"900351","WIS-423",732,777,692
"900379","QL-4498",737,772,702
"900372","QL-4497",732,772,697
"900358","Beta-8844",732,772,692
"900380","QL-4500",732,772,697
"900371","QL-4494",727,767,697
"900375","QL-4490",727,767,697
"900366","GX-7037",727,777,687
"900377","QL-4495",722,757,692
"900368","I-781",727,777,687
"900376","QL-4492",712,737,692
"900365","GX-7034",727,772,687
"900357","WIS-849",717,767,687
"900362","Beta-8843",722,772,687
"900373","QL-4499",707,722,682
"900361","I-782",722,772,687
"900355","WIS-845",712,757,682
"900348","Beta-8840",712,742,677
"900347","GX-7036",722,772,687
"900363","GX-7038",717,767,682
"900364","I-783",712,762,672
"900367","GX-7035",712,762,672
