"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
900329,"UGAMS-28206",7842,7922,7757
900325,"UGAMS-2726",1382,1507,1317
900326,"UGAMS-2725",1297,1357,1192
900322,"UGAMS-2723",1267,1307,1182
900320,"UGAMS-2738",1207,1277,1087
900330,"UGAMS-2727",1192,1272,1082
900321,"ISGS-A1251",1147,1242,1082
900316,"ISGS-A1250",1107,1172,1017
900319,"ISGS-A1106",1012,1062,967
900324,"ISGS-A1249",977,1052,937
900332,"ISGS-A1253",942,957,932
900318,"ISGS-A1105",862,927,807
900333,"ISGS-A1241",847,917,802
900331,"ISGS-A1247",847,912,802
900328,"UGAMS-2724",837,912,747
900323,"UGAMS-2739",827,907,742
900315,"Beta-318430",827,902,747
900317,"ISGS-A1252",787,897,742
900327,"AA-46511",192,282,22
902984,"AA-46512",792,897,742
902985,"AA-46510",727,872,677
902986,"AA-46513",877,957,802
902987,"AA-46514",1307,1352,1202
902988,"AA-46515",182,297,12
902989,"Beta-114953",802,917,737
902990,"UGAMS-28211",757,782,712
902996,"Beta-375567",832,907,787
902995,"Beta-310904",832,907,772
902992,"WIS-191",812,902,732
902993,"Beta-310903",807,897,747
902994,"ISGS-A1086",777,892,742
902991,"Beta-360269",687,727,667
902997,"Beta-318431",827,902,747
902999,"Beta-420799",772,877,742
902998,"Beta-360268",767,862,737
903001,"Beta-360270",762,822,737
903000,"Beta-360267",747,782,697
903003,"Beta-374819",832,907,752
903005,"Beta-374816",737,787,692
903004,"Beta-374817",197,292,17
903002,"Beta-374818",142,267,32
903006,"Beta-374821",847,912,792
903007,"Beta-374822",802,902,742
903010,"D-AMS-021795",942,977,922
903008,"D-AMS-021796",892,937,807
903009,"D-AMS-021794",877,917,802
903011,"DIC-3044",777,902,697
903014,"DIC-3135",987,1102,882
903013,"DIC-3133",857,947,752
903012,"ISGS-A2636",862,907,797
903016,"DIC-3134",777,897,702
903015,"DIC-3136",777,902,702
903017,"WIS-68",732,872,677
903019,"WIS-63",727,857,672
903018,"WIS-74",707,787,597
903020,"M-1214",587,677,462
903022,"UGAMS-29310",862,932,807
903021,"UGAMS-29311",852,917,802
903024,"UGAMS-30800",762,792,737
903025,"WIS-160",752,852,692
903023,"WIS-162",747,802,687
903026,"WIS-73",747,897,662
