"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"900563","Beta-183838",11547,11817,11317
"900552","SI-5251",11457,11742,11262
"900562","Beta-183837",9077,9247,9012
"900554","Beta-3863",7647,7837,7487
"900556","Beta-3859",7107,7292,6922
"900561","Beta-183836",6872,6967,6782
"900560","Beta-189062",6627,6732,6507
"900553","Beta-3864",6047,6292,5742
"900555","Beta-3862",5247,5527,4962
"900557","Beta-3861",4957,5252,4802
"900558","Beta-3860",2042,2252,1932
"900559","AA-72382",1232,1292,1157
"900551","SI-5353",822,1162,567
