"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8896,"C-609",13012,13912,11922
8899,"C-610",12837,13692,11642
8895,"M-118",12597,13647,11252
900871,"AA-20859",12442,12932,11772
900870,"Tx-85",12487,12847,11932
8894,"M-119",12012,13232,10557
900867,"Beta-168656",12092,12427,11947
8898,"M-204",11897,13092,10502
8897,"M-202",11897,13092,10502
900878,"Tx-87",11797,12432,11322
900880,"Beta-19611",11457,12022,10897
900881,"Beta-19336",11207,11832,10682
900882,"Tx-89",11132,11767,10627
900879,"Tx-88",10187,10592,9712
900877,"Tx-86",10047,10422,9672
900875,"Beta-187446",9637,9832,9552
900869,"Beta-43727",7557,7657,7447
900876,"Beta-97898",3537,3677,3422
900868,"Beta-97899",3537,3677,3422
900872,"Beta-187444",3487,3567,3412
900873,"Beta-189083",3242,3342,3122
900874,"Beta-187445",3227,3342,3087
8905,"GAK-1899",11582,12212,11102
900903,"Beta-19333",11577,11947,11287
900889,"Beta-169848",11552,11762,11357
8904,"GAK-1900",11387,11877,10827
8903,"C-611",11062,12092,9827
8902,"GAK-1896",10922,11237,10547
8901,"C-640",10092,10987,9462
900901,"Beta-193123",9537,9612,9492
900890,"Beta-190887",9472,9527,9332
900888,"NSRL-11436",9442,9517,9312
900892,"Beta-187449",9417,9482,9302
900887,"Beta-193124",9402,9502,9217
900893,"Beta-187450",9317,9422,9152
900900,"Beta-168857",9262,9402,9122
900891,"Beta-190866",9162,9317,9032
900902,"Beta-187448",9142,9292,9032
900897,"Beta-189084",9097,9257,9022
900883,"Beta-187447",9077,9247,8997
900896,"Beta-187454",9032,9152,8877
900895,"Beta-187453",9032,9147,8877
900884,"Beta-23653",8772,8977,8592
900904,"AA-3623",8222,8392,8027
8900,"GAK-1895",7807,8162,7512
900899,"Beta-187452",6862,6977,6757
900898,"Beta-189085",5817,5897,5707
900894,"Beta-187451",5797,5892,5667
900905,"AA-21522",5382,5482,5332
900886,"AA-20342",5367,5557,5067
900885,"AA-21521",1477,1677,1342
900910,"Beta-23652",8222,8412,8037
900911,"UGAMS-21631",8027,8157,7977
8908,"GAK-1897",7917,8167,7692
900906,"UGAMS-21630",7837,7922,7752
900907,"D-AMS-14556",7637,7672,7592
8907,"GAK-1901",7467,7612,7297
8906,"GAK-1898",7457,7617,7277
900909,"Beta-23651",6887,7137,6697
900908,"Beta-23650",6192,6287,6017
900915,"Beta-23649",5902,6157,5687
8910,"GAK-1902",5787,6017,5602
900914,"Beta-23648",5597,5852,5357
900913,"AA-20343",5207,5462,4967
900912,"Beta-23647",2797,2972,2547
8913,"M-203",4232,4957,3592
900918,"AA-20345",2537,2712,2367
900919,"AA-20344",2137,2502,1822
900917,"AA-20356",2137,2497,1822
8912,"C-635",1887,2407,1442
900916,"Beta-23646",392,517,147
903062,"Beta-23645",1072,1507,767
903061,"Beta-19335",827,977,692
