"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902108","AA-171",11967,13257,9367
"902116","CAMS-19262",13212,13382,13107
"902119","CAMS-19260",13097,13237,12902
"902154","CAMS-19252",12997,13097,12852
"902151","CAMS-19486",12917,13067,12782
"902153","CAMS-19259",12842,13032,12757
"902125","CAMS-19484",12662,12742,12497
"902111","CAMS-19487",12602,12892,12072
"902163","CAMS-19257",12672,12727,12512
"902162","CAMS-19261",12642,12717,12502
"902149","CAMS-19493",12537,12677,12187
"902133","CAMS-6377",12522,12677,12137
"902137","CAMS-5881",12492,12667,12107
"902112","CAMS-19482",12307,12652,11922
"902109","CAMS-7561",12177,12737,11407
"902164","CAMS-19256",12252,12487,12002
"902083","CAMS-19258",12227,12467,11977
"902161","CAMS-19485",12167,12447,11942
"902159","CAMS-19490",12042,12427,11842
"902138","CAMS-19489",12042,12432,11772
"902136","CAMS-5993",11852,12312,11502
"902115","CAMS-19481",11857,12402,11427
"902150","CAMS-19492",11682,11912,11407
"902145","CAMS-5887",11497,11747,11287
"902156","CAMS-10195",11482,11732,11282
"902114","CAMS-5886",11472,11797,11242
"902152","CAMS-19483",11287,11572,11202
"902169","CAMS-13842",11187,11247,10892
"902148","CAMS-5882",11142,11237,10832
"902124","CAMS-5994",11027,11217,10777
"902128","CAMS-7560",10982,11192,10767
"902113","Tx-4793",10972,11232,10692
"902143","CAMS-6350",10952,11167,10752
"902132","CAMS-6382",10937,11162,10712
"902144","CAMS-6348",10887,11117,10662
"902134","CAMS-6373",10887,11132,10632
"902127","Tx-4828",10872,11132,10612
"902167","CAMS-14806",10857,11077,10637
"902135","CAMS-6349",10812,11092,10592
"902118","CAMS-6374",10782,11102,10527
"902110","Tx-4787",10772,11162,10352
"902166","CAMS-14807",10667,11002,10532
"902168","CAMS-14805",10642,10972,10512
"902147","CAMS-5883",10647,10997,10477
"902165","CAMS-18640",10547,10687,10367
"902160","CAMS-19488",10522,10667,10322
"902155","CAMS-19080/Beta-80859",10412,10567,10267
"902146","CAMS-5884",10312,10482,10212
"902087","Tx-4784b",10027,10227,9732
"902085","Tx-4784c",9932,10227,9592
"902126","CAMS-10207",9902,10157,9617
"902086","Tx-4784a",9882,10172,9587
"902123","CAMS-5995",9822,10132,9582
"902140","CAMS-7201",9792,10107,9582
"902084","CAMS-10206",9392,9892,9002
"902142","CAMS-6911",9287,9442,9077
"902089","CAMS-18375",9227,9422,9042
"902098","CAMS-10197",9082,9257,8897
"902095","CAMS-13509",9082,9272,8827
"902122","CAMS-6915",9052,9287,8742
"902091","CAMS-10194",9057,9257,8792
"902139","CAMS-7207",9017,9237,8757
"902107","CAMS-10201",9002,9192,8772
"902094","CAMS-13514",8997,9222,8737
"902105","CAMS-13513",8882,9057,8682
"902106","CAMS-13512",8867,9007,8667
"902102","CAMS-8355",8847,8997,8657
"902103","CAMS-13841",8727,8967,8587
"902090","CAMS-13844",8737,8972,8552
"902104","CAMS-13840",8692,8957,8557
"902170","Tx-4798",8287,8792,7932
"902120","CAMS-6920",8272,8402,8072
"902131","CAMS-6916",8257,8372,8067
"902130","CAMS-6917",8102,8277,7977
"902129","CAMS-6919",7827,7952,7697
"902157","CAMS-6913",7472,7562,7352
"902158","CAMS-6912",7337,7422,7197
"902100","Beta-79699",6357,6457,6282
"902088","Beta-79700",6322,6452,6162
"902141","CAMS-7198",6302,6412,6142
"902121","CAMS-6918",6147,6292,5967
"902092","Beta-79803",5622,5792,5487
"902117","CAMS-6914",5437,5587,5147
"902099","CAMS-10196",5072,5277,4892
"902096","Beta-81106",4162,4372,3987
"902093","ETH-14115",4162,4372,3987
"902101","Beta-79698",1952,2092,1837
"902097","CAMS-18639",1952,2092,1837
