"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"7384","A-1539",12947,13757,12357
"900478","Beta-81603",12627,12707,12492
"900477","Beta-81599",12527,12657,12187
"900486","Beta-81613",12502,12647,12157
"900460","Beta-40681",12217,12877,11357
"900492","Beta-65179",12262,12572,11972
"900468","Beta-100506",12192,12632,11592
"900472","Beta-40680",12197,12482,11907
"900499","Beta-81609",12177,12577,11752
"900463","Beta-41063",12167,12562,11767
"900479","Beta-133790",12122,12442,11892
"900470","Beta-65181",12082,12627,11397
"900471","Beta-147135",11772,11912,11527
"900475","Beta-133791",11672,11842,11417
"900489","Beta-81610",11607,11832,11352
"900480","Beta-81602",11607,11812,11367
"900482","Beta-147132",11497,11697,11322
"900466","Beta-65177",11532,11932,11237
"900483","Beta-133788",11377,11622,11267
"900490","Beta-81611",11322,11602,11217
"900488","Beta-81606",11127,11232,10822
"900476","Beta-190498",10017,10157,9812
"900481","Beta-147136",9902,10132,9707
"900484","Beta-81608",9492,9532,9407
"900467","Beta-65184",9292,9572,8907
"900461","Beta-48756",8507,8937,8202
"900458","Beta-65170",8277,8482,8057
"900491","Beta-65173",7867,7987,7717
"900465","Beta-65178",7862,8027,7692
"900455","Beta-65180",7837,7972,7692
"900459","Beta-65182",7687,7852,7572
"900496","Beta-58897",7647,7857,7477
"900456","Beta-48752",7567,7712,7437
"900464","Beta-58899",7537,7667,7392
"900469","Beta-65175",7457,7752,7117
"900462","Beta-100510",7382,7547,7242
"900457","Beta-65174",7272,7417,7052
"900495","Beta-65171",7192,7382,6992
"900474","Beta-48755",6912,7152,6702
"900487","Beta-65169",6737,6887,6577
"900497","Beta-58898",6567,6807,6347
"900485","Beta-58895",6367,6467,6307
"900494","Beta-100509",6187,6307,6007
"900473","Beta-48753",6157,6302,5977
"900498","Beta-65168",6072,6282,5807
"900493","Beta-100508",5832,5922,5642
