"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"900646","AA-823",13307,13962,12712
"900661","AA-825",13297,13962,12702
"900660","AA-807",13182,13867,12307
"900657","AA-808",13117,13877,12042
"7612","SI-172",13077,13807,12037
"7613","SI-175",13007,13862,11737
"900648","SMU-695",12822,13782,11432
"900653","AA-806",12752,13792,11292
"900650","Beta-24212",12902,13062,12777
"900651","UCIAMS-11341",12862,12957,12777
"900643","AA-811",12717,13462,11612
"900662","AA-824",12762,13182,12047
"900644","AA-805",12662,13382,11612
"900645","AA-804",12577,13362,11497
"900655","AA-814",12402,13527,11022
"900642","AA-803",12077,12922,11112
"900656","AA-802B",11957,13077,10687
"900649","SMU-610",11797,12567,11092
"900647","AA-810",11782,12747,10697
"900659","AA-802A",10952,12342,9847
"900654","AA-822B",10767,12487,9367
"900641","AA-815",10582,11557,9747
"900658","AA-801",8967,10107,8092
"900640","AA-818",8142,8812,7662
"900663","AA-819",6012,6517,5532
"900639","AA-812",5892,6422,5337
"900652","AA-816",6182,7402,5267
