"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
7015,"WIS-9",842,922,797
7016,"WIS-8",842,917,797
7017,"WIS-11",842,917,792
7014,"WIS-13",842,932,797
7019,"M-1096",842,912,782
7020,"WIS-14",842,907,782
7018,"WIS-10",842,912,787
900245,"ISGS-2980",842,912,787
900246,"ISGS-3065",842,917,797
900247,"ISGS-3064",842,917,792
900248,"ISGS-3024",842,912,792
900249,"ISGS-3022",842,917,792
900250,"ISGS-2979",837,907,777
900251,"ISGS-3023",842,912,792
7021,"WIS-26",662,727,567
900252,"WIS-1274",687,747,612
900253,"WIS-1273",677,732,582
