"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902880","SI-1551C",4722,4992,4492
"902884","SI-1551A2",4707,4837,4557
"902881","SI-1550B",4562,4797,4322
"902882","SI-1553",4322,4477,4162
"902886","SI-1550A",4012,4152,3872
"902876","SI-1548",3977,4182,3777
"902887","SI-1551A1",3722,3832,3592
"902885","SI-1552",3642,3807,3512
"902883","SI-1549",3622,3822,3467
"902875","SI-1551B",3467,3632,3297
"902877","SI-1547",3197,3357,2992
"902874","SI-1551A3",2782,2942,2532
"902878","SI-1546B",1212,1622,837
"902879","SI-1546A",377,597,67
