"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902181","ISGS-5796",3917,4082,3732
"902184","ISGS-5432",1222,1317,1082
"902176","ISGS-6154",1017,1172,882
"902185","ISGS-5791",1007,1167,852
"902179","ISGS-6155",642,722,557
"902171","ISGS-6152",607,672,537
"902177","ISGS-5426",602,667,537
"902182","ISGS-5786",562,647,492
"902175","ISGS-5788",552,642,477
"902174","ISGS-6156",537,637,407
"902183","ISGS-A2840",522,537,512
"902178","ISGS-5787",467,547,332
"902180","ISGS-5794",402,502,302
"902172","ISGS-A1088",387,472,327
"902173","ISGS-5795",287,447,57
