"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9405,"SI-3988",15462,15737,15202
9406,"RL-1135",19612,20932,18517
9407,"A-2372",32587,51402,24242
9408,"RL-1134",14107,16097,12707
9409,"RL-1133",15727,17572,14057
903218,"A-1790",16757,17297,16197
903219,"A-1789",17007,18027,16212
903220,"A-1794",15547,16462,14062
903221,"A-1806",16022,16397,15672
903222,"A-1808",12087,12562,11517
903223,"GX-6305",1672,1827,1552
903224,"WK-145",9467,9617,9232
