"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"901743","M-9",1542,1762,1417
"901769","M-10",1542,1762,1412
"901758","M-2",1237,1407,1017
"901765","Beta-265981",1102,1222,992
"901752","Beta-284696",1072,1172,977
"901776","Beta-286636",997,1067,937
"901735","Beta-39235",852,987,732
"901782","Beta-264865",827,907,742
"901753","Beta-234735",827,907,742
"901745","Beta-232870",812,907,737
"901774","Beta-241194",792,902,732
"901768","Beta-232869",792,902,732
"901767","Beta-237767",792,902,732
"901766","Beta-237776",792,902,732
"901779","Beta-234742",752,887,692
"901736","Beta-39232",762,907,677
"901772","Beta-278199",707,767,677
"901771","Beta-278198",707,767,677
"901750","Beta-309045",707,732,677
"901742","Beta-309046",697,727,672
"901788","Beta-271174",692,732,662
"901781","Beta-264864",692,732,662
"901757","M-7",702,892,567
"901747","Beta-264811",692,732,662
"901744","Beta-252378",687,727,652
"901726","Beta-39234",687,742,582
"901780","Beta-241195",682,722,582
"901770","Beta-241193",667,717,572
"901778","Beta-234736",657,687,572
"901749","Beta-246694",652,677,567
"901746","Beta-252379",652,677,567
"901730","Beta-313068",657,672,572
"901789","DIC-2357",637,682,562
"901761","Beta-284695",632,672,562
"901763","Beta-234738",617,667,562
"901762","Beta-241192",617,667,562
"901739","Beta-44768",617,677,557
"901738","Beta-44769",607,672,547
"901787","DIC-2358",602,662,552
"901732","Beta-309052",602,657,562
"901731","Beta-303069",602,657,562
"901729","Beta-241196",607,667,547
"901733","Beta-306318",602,652,557
"901764","Beta-246696",602,652,547
"901740","Beta-234739",602,652,547
"901773","Beta-234734",602,647,542
"901751","Beta-234743",602,647,542
"901741","Beta-234737",602,647,542
"901737","Beta-39233",597,657,532
"901756","M-5",592,677,502
"901783","Beta-44771",597,647,527
"901775","Beta-278196",597,642,532
"901759","Beta-246695",597,642,532
"901785","Beta-130354",587,642,522
"901786","Beta-130353",567,642,517
"901748","Beta-284697",557,632,522
"901784","Beta-44770",547,632,512
"901777","Beta-278197",542,627,512
"901755","M-4",562,657,472
"901760","Beta-252377",542,627,507
"901728","DIC-1024",537,627,502
"901754","Beta-234740",522,602,497
"901727","DIC-1023",477,512,422
"901734","DIC-2359",472,512,407
