"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
900452,"NSRL-11375",3932,4062,3852
900450,"NSRL-11379",3797,3892,3717
900453,"NSRL-11376",1877,1972,1772
900456,"Beta-163099",1712,1812,1617
900455,"Beta-84978",1632,1737,1537
900457,"NSRL-11377",1477,1552,1407
900454,"Beta-163096",1462,1567,1367
900451,"NSRL-11374",1387,1502,1352
7337,"WSU-2457",762,907,667
7347,"WSU-2452",6082,6272,5942
7344,"WSU-2454",4197,4397,3992
7345,"WSU-2460",4182,4427,3922
900462,"Beta-163101",4032,4137,3922
900464,"NSRL-11383",3907,3992,3837
7343,"WSU-2451",3882,4177,3607
900465,"NSRL-11384",3842,3962,3717
7346,"WSU-2459",3802,4087,3542
900463,"NSRL-11382",3757,3832,3657
7342,"WSU-2462",3377,3597,3157
7348,"L-289BB",3362,3747,2992
7350,"WSU-2455B",21562,22122,20997
7349,"WSU-2455A",19747,20177,19327
7351,"L-289AA",18567,19402,17742
900460,"NSRL-11381",3787,3917,3717
900458,"Beta-163098",3772,3852,3707
900461,"NSRL-11380",3767,3837,3692
900459,"Beta-163100",3767,3827,3672
900466,"Beta-163097",3897,3987,3777
903027,"NSRL-11373",3757,3882,3622
903028,"NSRL-11378",1577,1692,1442
