"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
900917,"CAMS-42369",52352,54642,49457
11363,"CAMS-58191",52257,54622,49452
11336,"CAMS-58194",48197,51007,46442
900920,"CAMS-58197",48197,53787,44342
900915,"CAMS-58436",43082,44752,42117
900912,"Beta-134247",40237,40772,39722
900913,"Beta-145661",37732,39292,36392
900922,"CAMS-61890",33747,34157,33272
900916,"CAMS-42365",22247,22362,22117
900905,"CAMS-42367",20337,20452,20197
900908,"Beta-134249",15777,15932,15642
900921,"Beta-145667",7647,7732,7587
900909,"CAMS-61141",7492,7562,7437
900911,"CAMS-61895",5402,5472,5322
11364,"CAMS-58192",5172,5322,5052
903114,"CAMS-58437",52962,54722,50527
903112,"CAMS-58199",52657,54607,50097
903113,"CAMS-58196",51037,54327,47342
903108,"Beta-134251",49287,52212,47217
903110,"CAMS-61894",48492,51987,46307
903106,"CAMS-54732",45597,46997,44732
903107,"CAMS-42368",45147,46562,44197
903109,"CAMS-42366",45197,47437,43592
903111,"Beta-145662",43167,45157,42047
903102,"Beta-134245",42582,42927,42317
903104,"CAMS-61891",42532,42967,42207
903103,"Beta-134241",42177,42467,41787
903100,"Beta-134248",41357,41822,40917
903099,"Beta-143264",40427,40952,39852
903098,"Beta-134242",39227,39672,38337
903105,"Beta-145663",36297,37707,35372
903097,"Beta-145666",35877,36262,35447
903096,"Beta-134250",35532,35987,35117
903095,"CAMS-58202",34702,35147,34437
903101,"Beta-145834",33747,34322,32892
903091,"CAMS-58434",13187,13302,13107
903079,"Beta-134243",10997,11167,10807
903087,"Beta-145665",9062,9232,8862
903085,"Beta-145668?",9062,9232,8862
903089,"CAMS-58440",8842,8992,8652
903078,"Beta-145833",7237,7317,7172
903081,"Beta-145664",6802,6902,6697
903080,"Beta-134244",6422,6492,6327
903083,"CAMS-58433",4402,4517,4257
903094,"CAMS-58200",4312,4602,4032
903084,"CAMS-58438",3232,3347,3087
903086,"CAMS-58201",3217,3342,3082
903082,"CAMS-42820",2437,2672,2357
903093,"CAMS-43073",2312,2582,2152
903090,"CAMS-58439",1952,2102,1827
