"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902415","Beta-19745",1182,1277,1072
"902408","Beta-13629",1122,1247,1002
"902406","Beta-17214",1117,1247,987
"902411","Beta-13631",1097,1232,977
"902414","Beta-19744",1057,1172,962
"902413","Beta-19743",1022,1157,937
"902410","Beta-13628",937,1057,812
"902407","Beta-13627",937,1052,817
"902412","Beta-19746",917,1007,812
"902409","Beta-13630",887,962,792
"902405","Beta-19747",877,927,732
