"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"902017","I-8690",3697,3892,3507
"902025","PRI-4993",2237,2342,2167
"902021","I-8984",2007,2267,1832
"902012","PRI-4992",1927,1987,1847
"902013","PRI-5044",1917,1987,1842
"902019","PRI-4990",1847,1917,1757
"902024","PRI-4989",1812,1877,1747
"902022","PRI-5040",1652,1707,1597
"902023","PRI-5041",1632,1702,1562
"902014","PRI-4991",1627,1697,1562
"902016","PRI-4994",1542,1602,1432
"902015","PRI-5045",1417,1512,1352
"902018","I-8983",1057,1242,902
"902020","I-8982",672,827,567
