"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
19725,"UCIAMS-139604",47992,53922,44412
19694,"UCIAMS-126399",3097,3162,3007
19692,"UCIAMS-137893",1287,1297,1197
19691,"UCIAMS-53285",1212,1282,1182
19715,"UCIAMS-137898",44022,46682,42682
19705,"UCIAMS-53291",36927,38437,36212
19720,"Beta-135140",45697,47167,44782
19710,"Beta-120098",40257,41202,39322
19711,"UCIAMS-53293",40217,41142,39322
19723,"UCIAMS-53294",46277,51042,43897
19706,"UCIAMS-85362",37862,39032,36817
902587,"Beta 120097",48322,53702,45362
19704,"Beta-129369",33287,33772,32437
19716,"UCIAMS-137900",44652,48247,42927
19733,"UCIAMS-126398",49807,54347,45997
19708,"UCIAMS-137892",38747,40142,37312
19697,"UCIAMS-56844",5527,5582,5482
19735,"UCIAMS-87756",5422,5442,5317
19709,"UCIAMS-139606",39557,41002,37642
19703,"UCIAMS-85361",27507,27707,27322
19713,"UCIAMS-137894",41957,42902,40947
19701,"UCIAMS-53288",21992,22137,21802
902591,"UGAMS-10615",30032,30122,29947
19702,"UGAMS-10621",26332,26662,26052
902589,"UGAMS-10622",9002,9077,8807
19736,"UCIAMS-87758",7877,7932,7807
902592,"Beta-318500",7287,7407,7182
902590,"UGAMS-10616",7232,7307,7172
19726,"UCIAMS-139605",48172,53977,44582
19717,"UCIAMS-126400",45092,48622,43172
19698,"UCIAMS-56845",7322,7417,7277
902586,"Beta-128669",37147,37952,36597
19738,"Beta-135139",5162,5307,5007
902585,"Beta-125778",857,937,792
19714,"UCIAMS-139603",42557,44392,41337
19693,"UCIAMS 137891",1932,1987,1877
19734,"UCIAMS-126397",50472,54492,46382
19707,"UCIAMS-53290",38812,39932,37532
902588,"Beta-318497",10962,11167,10817
19696,"UCIAMS-53286",4612,4792,4537
19690,"Beta-128214",1022,1132,962
19700,"UCIAMS-137890",17252,17397,17102
19695,"UCIAMS-53287",3352,3377,3272
19712,"UCIAMS-53292",41467,42167,40527
19742,"Beta-125783",32477,33022,31947
19743,"Beta-125784",43117,44122,42562
19741,"Beta-125781",14667,14962,14372
19739,"Beta-128215",13732,13997,13532
19740,"Beta-125780",13877,14012,13762
19699,"Beta-125777",8992,9117,8782
19737,"UCIAMS-87757",11897,11972,11832
903156,"Beta-120097",49042,54167,45692
