"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81974,"event",9037,9287,8782
81975,"event",2812,2832,2792
81977,"event",2017,2462,1577
81979,"event",1477,1917,1042
81981,"event",497,607,352
81983,"event",6062,7937,4197
81984,"event",8782,9432,8192
81985,"event",7537,7802,7267
81986,"event",7072,7282,6852
81987,"event",7072,7267,6867
81988,"event",4797,5942,3652
81982,"event",8827,9042,8612
81989,"event",1182,1437,942
513786,"event",7352,7432,7257
81974,"bounds",NA,9752,8297
81975,"bounds",NA,2852,2772
81977,"bounds",NA,3247,797
81979,"bounds",NA,2582,372
81981,"bounds",NA,872,87
81983,"bounds",NA,10827,1317
81984,"bounds",NA,10742,6892
81985,"bounds",NA,8237,6782
81986,"bounds",NA,7707,6417
81987,"bounds",NA,7692,6442
81988,"bounds",NA,7772,1822
81982,"bounds",NA,9512,8147
81989,"bounds",NA,1982,412
513786,"bounds",NA,7627,7057
