"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
80215,"event",7552,11462,3642
80218,"event",5962,6512,5417
80222,"event",13577,14202,13047
80215,"bounds",NA,17917,-2913
80218,"bounds",NA,7732,4192
80222,"bounds",NA,15467,11777
