"","collid","ndb.analysisunits.analysisunitid","ndb.analysisunits.analysisunitname","agemodel","ndb.chroncontrols.age","ndb.chroncontrols.agelimitolder","ndb.chroncontrols.agelimityounger","notes","ndb.chroncontrols.chroncontroltypeid","ndb.collections.collectionunitid","rerun.&amp;.check","ndb.chroncontrols.notes","TEMP_chronid"
"517",5388,81635,"Stratum I","event",NA,10000,4727,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"518",5388,81635,"Stratum I","bounds",NA,10000,5107,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"519",5388,81636,"Stratum II","event",NA,10000,4727,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"520",5388,81636,"Stratum II","bounds",NA,10000,5107,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"521",5388,81637,"Stratum III 0-10cm","event",NA,77,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"522",5388,81637,"Stratum III 0-10cm","bounds",NA,-75,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"523",5388,81638,"Stratum III 10-20cm","event",NA,77,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"524",5388,81638,"Stratum III 10-20cm","bounds",NA,-75,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"525",5388,81640,"Stratum III 30-40cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"526",5388,81640,"Stratum III 30-40cm","bounds",NA,2707,557,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"527",5388,81641,"Stratum III 40-50cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"528",5388,81641,"Stratum III 40-50cm","bounds",NA,2707,557,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"529",5388,81642,"Stratum III 50-60cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"530",5388,81642,"Stratum III 50-60cm","bounds",NA,2707,557,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"531",5388,81645,"Stratum III Feature II","event",NA,4727,327,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"532",5388,81645,"Stratum III Feature II","bounds",NA,5107,557,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"533",5388,81646,"Stratum III Feature III","event",NA,4727,327,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"534",5388,81646,"Stratum III Feature III","bounds",NA,5107,557,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"535",5388,81647,"Stratum III Feature IX","event",NA,4727,327,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"536",5388,81647,"Stratum III Feature IX","bounds",NA,5107,557,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"537",5388,81649,"Stratum III Feature VII","event",NA,4727,327,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"538",5388,81649,"Stratum III Feature VII","bounds",NA,5107,557,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"539",5388,81650,"Stratum III Feature X","event",NA,4727,327,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"540",5388,81650,"Stratum III Feature X","bounds",NA,5107,557,"full range of dated Stratum III units",80,5388,FALSE,"inferred: full range of dated Stratum III units",NA
"541",5388,81651,"Stratum III/IV mix","event",NA,4727,-75,"above bottom of Stratum III",23,5388,FALSE,"inferred: above bottom of Stratum III",NA
"542",5388,81651,"Stratum III/IV mix","bounds",NA,5107,-75,"above bottom of Stratum III",23,5388,FALSE,"inferred: above bottom of Stratum III",NA
"543",5388,81652,"Stratum IV","event",NA,4727,327,"above top of Stratum III",23,5388,FALSE,"inferred: above top of Stratum III",NA
"544",5388,81652,"Stratum IV","bounds",NA,5107,557,"above top of Stratum III",23,5388,FALSE,"inferred: above top of Stratum III",NA
"1073",6369,83375,"Basal Gravels","event",NA,6000,3982,"below base of unit; Late Holocene",37,6369,FALSE,"inferred: below base of unit; Late Holocene",NA
"1074",6369,83375,"Basal Gravels","bounds",NA,6000,4462,"below base of unit; Late Holocene",37,6369,FALSE,"inferred: below base of unit; Late Holocene",NA
"1135",6988,84170,"Archaic","event",NA,10000,1602,"below Woodland level, above 10ka (Archaic)",37,6988,FALSE,"inferred: below Woodland level, above 10ka (Archaic)",NA
"1136",6988,84170,"Archaic","bounds",NA,10000,2102,"below Woodland level, above 10ka (Archaic)",37,6988,FALSE,"inferred: below Woodland level, above 10ka (Archaic)",NA
"1137",6988,84171,"Madison","event",NA,3000,1602,"below Woodland level, above 3ka (Woodland)",37,6988,FALSE,"inferred: below Woodland level, above 3ka (Woodland)",NA
"1138",6988,84171,"Madison","bounds",NA,3000,2102,"below Woodland level, above 3ka (Woodland)",37,6988,FALSE,"inferred: below Woodland level, above 3ka (Woodland)",NA
"1207",7331,84608,"20-30 level","event",NA,3927,752,"between 0-20 and 30-40",23,7331,FALSE,"inferred: between 0-20 and 30-40",NA
"1208",7331,84608,"20-30 level","bounds",NA,3572,1122,"between 0-20 and 30-40",23,7331,FALSE,"inferred: between 0-20 and 30-40",NA
"1361",15433,151843,"TP2, Level 20","event",NA,49042,37882,"bounded by TP2 18 and 23",23,15433,FALSE,"inferred: bounded by TP2 18 and 23",NA
"1362",15433,151843,"TP2, Level 20","bounds",NA,57892,32427,"bounded by TP2 18 and 23",23,15433,FALSE,"inferred: bounded by TP2 18 and 23",NA
"1363",15433,151845,"TP2, Level 25","event",NA,48142,37882,"bounded by TP2 23 and 26",23,15433,FALSE,"inferred: bounded by TP2 23 and 26",NA
"1364",15433,151845,"TP2, Level 25","bounds",NA,53547,32427,"bounded by TP2 23 and 26",23,15433,FALSE,"inferred: bounded by TP2 23 and 26",NA
"1365",15433,151847,"TP2, Level 31","event",NA,80000,48142,"below TP2 Level 31, above 80ka",37,15433,FALSE,"inferred: below TP2 Level 31, above 80ka",NA
"1366",15433,151847,"TP2, Level 31","bounds",NA,80000,53547,"below TP2 Level 31, above 80ka",37,15433,FALSE,"inferred: below TP2 Level 31, above 80ka",NA
"1367",15433,151848,"TP2, Level 32","event",NA,80000,48142,"below TP2 Level 31, above 80ka",37,15433,FALSE,"inferred: below TP2 Level 31, above 80ka",NA
"1368",15433,151848,"TP2, Level 32","bounds",NA,80000,53547,"below TP2 Level 31, above 80ka",37,15433,FALSE,"inferred: below TP2 Level 31, above 80ka",NA
"1369",15433,151849,"TP2 NE, Level 2","event",NA,3277,0,"above rest of TP2NE",23,15433,FALSE,"inferred: above rest of TP2NE",NA
"1370",15433,151849,"TP2 NE, Level 2","bounds",NA,3172,0,"above rest of TP2NE",23,15433,FALSE,"inferred: above rest of TP2NE",NA
"1371",15433,151852,"TP2 NE, Level 11","event",NA,13542,9712,"below TP2NE 7, above TP2NE 14",23,15433,FALSE,"inferred: below TP2NE 7, above TP2NE 14",NA
"1372",15433,151852,"TP2 NE, Level 11","bounds",NA,12867,5627,"below TP2NE 7, above TP2NE 14",23,15433,FALSE,"inferred: below TP2NE 7, above TP2NE 14",NA
"1373",15433,151853,"TP2 NE, Level 13","event",NA,13542,9712,"below TP2NE 7, above TP2NE 14",23,15433,FALSE,"inferred: below TP2NE 7, above TP2NE 14",NA
"1374",15433,151853,"TP2 NE, Level 13","bounds",NA,12867,5627,"below TP2NE 7, above TP2NE 14",23,15433,FALSE,"inferred: below TP2NE 7, above TP2NE 14",NA
"1375",15433,151855,"TP2 NE, Level 15","event",NA,38962,23732,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1376",15433,151855,"TP2 NE, Level 15","bounds",NA,32662,31642,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1377",15433,151856,"TP2 NE, Level 16","event",NA,38962,23732,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1378",15433,151856,"TP2 NE, Level 16","bounds",NA,32662,31642,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1379",15433,151857,"TP2 NE, Level 17","event",NA,38962,23732,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1380",15433,151857,"TP2 NE, Level 17","bounds",NA,32662,31642,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1381",15433,151858,"TP2 NE, Level 18","event",NA,38962,23732,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1382",15433,151858,"TP2 NE, Level 18","bounds",NA,32662,31642,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1383",15433,151859,"TP2 NE, Level 20","event",NA,38962,23732,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1384",15433,151859,"TP2 NE, Level 20","bounds",NA,32662,31642,"below TP2NE 14, above TP2NE 21",23,15433,FALSE,"inferred: below TP2NE 14, above TP2NE 21",NA
"1385",15433,151861,"TP2 NE, Level 23","event",NA,45942,38962,"bounded by TP2NE 21 and TP2NE 24",23,15433,FALSE,"inferred: bounded by TP2NE 21 and TP2NE 24",NA
"1386",15433,151861,"TP2 NE, Level 23","bounds",NA,52497,32662,"bounded by TP2NE 21 and TP2NE 24",23,15433,FALSE,"inferred: bounded by TP2NE 21 and TP2NE 24",NA
"1387",15433,151863,"TP2 NE, Level 26","event",NA,42237,39182,"bounded by TP2NE 24 and TP2NE 27",23,15433,FALSE,"inferred: bounded by TP2NE 24 and TP2NE 27",NA
"1388",15433,151863,"TP2 NE, Level 26","bounds",NA,44037,37142,"bounded by TP2NE 24 and TP2NE 27",23,15433,FALSE,"inferred: bounded by TP2NE 24 and TP2NE 27",NA
"1389",15433,151865,"TP2 NE, Level 32","event",NA,80000,45942,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1390",15433,151865,"TP2 NE, Level 32","bounds",NA,80000,52497,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1391",15433,151866,"TP2 NE, Level 34","event",NA,80000,45942,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1392",15433,151866,"TP2 NE, Level 34","bounds",NA,80000,52497,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1393",15433,151867,"TP2 NE, Level 36","event",NA,80000,45942,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1394",15433,151867,"TP2 NE, Level 36","bounds",NA,80000,52497,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1395",15433,151868,"TP2 NE, Level 37","event",NA,80000,45942,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1396",15433,151868,"TP2 NE, Level 37","bounds",NA,80000,52497,"below TP2NE 27, above 80ka",37,15433,FALSE,"inferred: below TP2NE 27, above 80ka",NA
"1467",18729,218797,"TA 15B","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1468",18729,218797,"TA 15B","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
