"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82431,"event",15447,15747,15122
82432,"event",19717,20907,18647
82433,"event",34302,43327,26972
82434,"event",14267,15907,12817
82435,"event",15872,17367,14492
513806,"event",16862,17232,16517
513807,"event",15862,16192,15417
513808,"event",12062,12442,11662
513809,"event",1692,1847,1562
513810,"event",9457,9677,9237
82431,"bounds",NA,16492,14367
82432,"bounds",NA,23422,16167
82433,"bounds",NA,57447,13427
82434,"bounds",NA,19322,9452
82435,"bounds",NA,20377,11587
513806,"bounds",NA,17812,16002
513807,"bounds",NA,16807,14572
513808,"bounds",NA,13177,10917
513809,"bounds",NA,2157,1247
513810,"bounds",NA,10207,8707
