"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82391,"event",10017,10327,9722
513791,"event",9587,9777,9412
82391,"bounds",NA,10722,9342
513791,"bounds",NA,10072,9092
