"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81412,"event",17597,18637,16262
513763,"event",15907,20107,11697
513764,"event",19802,19977,19637
513765,"event",24022,24252,23807
513766,"event",19717,19882,19557
513767,"event",21672,21902,21432
513768,"event",21067,21287,20892
513769,"event",20717,20912,20532
513770,"event",20797,20992,20602
513771,"event",15437,15582,15297
513772,"event",17102,17257,16957
513773,"event",17142,17282,17007
513774,"event",20222,20357,20062
513775,"event",17617,17812,17432
513776,"event",21572,21752,21387
513777,"event",22757,23007,22522
513778,"event",19127,19652,18627
513779,"event",35937,37202,34687
513780,"event",17712,18762,16657
513782,"event",21302,21587,21047
513783,"event",24507,24662,24367
513784,"event",24287,24467,24132
81412,"bounds",NA,20517,13707
513763,"bounds",NA,26597,5207
513764,"bounds",NA,20322,19297
513765,"bounds",NA,24792,23272
513766,"bounds",NA,20242,19192
513767,"bounds",NA,22402,20927
513768,"bounds",NA,21717,20457
513769,"bounds",NA,21347,20102
513770,"bounds",NA,21437,20167
513771,"bounds",NA,15892,14987
513772,"bounds",NA,17567,16632
513773,"bounds",NA,17562,16712
513774,"bounds",NA,20672,19737
513775,"bounds",NA,18227,17017
513776,"bounds",NA,22142,20992
513777,"bounds",NA,23552,21992
513778,"bounds",NA,20792,17482
513779,"bounds",NA,39472,32472
513780,"bounds",NA,20567,14847
513782,"bounds",NA,22132,20497
513783,"bounds",NA,24942,24152
513784,"bounds",NA,24822,23772
